id,itemLabel,areaLabel,partyLabel
1,ADIA LETI MAWA BAUDOUIN,ORIENTALE,P.P.R.D
2,ADUBANGO ALI EMMANUEL,ORIENTALE,P.P.R.D
3,ALEKU KITIKA CYPRIEN,ORIENTALE,P.P.R.D
4,ANGALIKIANA KALUMBULA,ORIENTALE,P.P.R.D
5,AVONGI SANDRION YELE MARIE,ORIENTALE,P.P.R.D
6,BAKUNGU MYTHONDEKE D.J,NORD-KIVU,P.P.R.D
7,BALUME TUSSI VALENTIN,NORD-KIVU,P.P.R.D
8,BANZE BWANA KASONGO,KATANGA,P.P.R.D
9,BASHOMBERWA LALIA MARTHE,SUD-KIVU,P.P.R.D
10,BEYA WA KABEMBA JEAN,KASAÏ OCCIDENTAL,P.P.R.D
11,BIRINDWA CHANKIRE SOLID,SUD-KIVU,P.P.R.D
12,BOJI SANGARA AIME,SUD-KIVU,P.P.R.D
13,BONYOMA FALANGA JACQUES YVES,ORIENTALE,P.P.R.D
14,BOSAGA SUMAILI JEAN DIEUDONNE,MANIEMA,P.P.R.D
15,BOSHAB MABUDJ EVARISTE,KASAÏ OCCIDENTAL,P.P.R.D
16,BUHERWA LUPINI DESIRE,SUD-KIVU,P.P.R.D
17,BULUPIY GALATI SIMON,ORIENTALE,P.P.R.D
18,BURA PULUNYO CAJETAN MAURICE,ORIENTALE,P.P.R.D
19,BUNUNDA BAROKI WITH XAVIER,NORD-KIVU,P.P.R.D
20,CHOKWE CEMBO MOÏSE,KATANGA,P.P.R.D
21,CHUM MURISH LOVY,KATANGA,P.P.R.D
22,DIUR KATOND GASPARD,KASAÏ ORIENTAL,P.P.R.D
23,EWANGA ISEWANGA IWOKA,EQUATEUR,P.P.R.D
24,GHONDA MANGALIBI ANTOINE,BAS-CONGO,P.P.R.D
25,GUYENI MASILI BERNARD,MANIEMA,P.P.R.D
26,ILUNGA KAMPANYI JEAN PIERRE,KATANGA,P.P.R.D
27,KAWESHA MUTUNDO ULE AMBROISE,SUD-KIVU,P.P.R.D
28,KAHENGA SOMPO JOSEPH,KASAÏ ORIENTAL,P.P.R.D
29,KALAU NGUNGU GODE,KASAÏ OCCIDENTAL,P.P.R.D
30,KALEMA LOSONA JEAN PIERRE,MANIEMA,P.P.R.D
31,KALENGA WA KUBWILU JEAN JACQUES,KATANGA,P.P.R.D
32,KALOMBO TAMBWA FRANCIS,KINSHASA,P.P.R.D
33,KAMBERE KALUMBI FERDINAND,NORD-KIVU,P.P.R.D
34,KAMERHE VITAL,SUD-KIVU,P.P.R.D
35,KAMONI MOKOTA LISSA JEAN MARIE,-,P.P.R.D
36,KASHINDI ASSUMANI ALAIN JEAN PIERRE,SUD-KIVU,P.P.R.D
37,KASONGO KAWAYA JEAN LOUIS,KATANGA,P.P.R.D
38,KASONGO NGOIE GERARDINE,KATANGA,P.P.R.D
39,KASONGO NUMBI KASHEMUKUNDA,KATANGA,P.P.R.D
40,KASONGO SAKADI GILBERT,KATANGA,P.P.R.D
41,KATANTI MWITWA PHILIPE,KATANGA,P.P.R.D
42,KATSHONGO MBAVU PAULIN,KATANGA,P.P.R.D
43,KATUMBA MWANKE AUGUSTIN,KATANGA,P.P.R.D
44,KAYINDA MAHINA ADELE,KATANGA,P.P.R.D
45,KAZADI NYEMBWE DIEUDONNE,KASAÏ ORIENTAL,P.P.R.D
46,KIBAMBE LUBANGI MARCELINE,KASAÏ ORIENTAL,P.P.R.D
47,KIDIDI KIKI KILOLO GAUTHIER,KINSHASA,P.P.R.D
48,KIENGE DYASHI GHISLAIN,KATANGA,P.P.R.D
49,KIKA ZAMUDA MARIE JEANNE,SUD-KIVU,P.P.R.D
50,KIKAYA BIN KARUBI BARNABE,MANIEMA,P.P.R.D
51,KONDE MUWELWA BONIFACE,KATANGA,P.P.R.D
52,KUTEKALA KAAWA ALBERT,BANDUNDU,P.P.R.D
53,KWABENE MWETAMINWA DAMIEN,SUD-KIVU,P.P.R.D
54,LONGO KI-MBENZA MAKASI EDMOND,BAS-CONGO,P.P.R.D
55,LUBAYA WA LUBAYA CLAUDE-ANDRE,KASAÏ OCCIDENTAL,P.P.R.D
56,LUKUNGA KATANGA FELICIEN,KATANGA,P.P.R.D
57,LUPULA MATSHALO FELIX,KATANGA,P.P.R.D
58,M’VULA KAPOME PASCAL-JOSEPH,MANIEMA,P.P.R.D
59,MAKEPA NTAMBUE CYRILLE,KASAÏ OCCIDENTAL,P.P.R.D
60,MAKONERO WILDOR,SUD-KIVU,P.P.R.D
61,MAMBO MAWA LE BON,ORIENTALE,P.P.R.D
62,MAMBU MBUMI JEAN PAUL,KINSHASA,P.P.R.D
63,MANANGA MA TSHIAMA BOSCO,BAS-CONGO,P.P.R.D
64,MANKUMBWA YASUPA GODEFROID,-,P.P.R.D
65,MATABISHI MUSAKANI WAVUNGIRE,NORD-KIVU,P.P.R.D
66,MATHE NZINZI MULA GASTON,NORD-KIVU,P.P.R.D
67,MATONDO KATI MAYALA GEORGETTE,BAS-CONGO,P.P.R.D
68,MBEMBA FUNDU DI LUYINDU THEOPHILE,BANDUNDU,P.P.R.D
69,MBUYU LUYONGOLA JEAN,KATANGA,P.P.R.D
70,MINAKU NDJALALANDJOKO AUBIN,BANDUNDU,P.P.R.D
71,MODUA MOLENGOMO JOSEPH NICOLAS,BANDUNDU,P.P.R.D
72,MOKAKO NDZEKE JACQUES,EQUATEUR,P.P.R.D
73,MOKE MAMBANGO MARIE,ORIENTALE,P.P.R.D
74,MOLEKA NSOLA WIVINE,KINSHASA,P.P.R.D
75,MOLEKO MOLIWA ANASTASIE,ORIENTALE,P.P.R.D
76,MUABILU MBAYU MUKALA PUIS,KINSHASA,P.P.R.D
77,MUBA KITWA DAMASE,KATANGA,P.P.R.D
78,MUHIMA BINTU SABINE,NORD-KIVU,P.P.R.D
79,MUHIND KASOLE ALPHONSE,NORD-KIVU,P.P.R.D
80,MUJINGA KAYINU ALPHONSINE,KATANGA,P.P.R.D
81,MUKENDI TSHIAMBULA HONORE,KASAÏ ORIENTAL,P.P.R.D
82,MULUNDA SHIMBI JEAN,KATANGA,P.P.R.D
83,MUSEMENA BONGALA GASTON,ORIENTALE,P.P.R.D
84,MUTOMBO NGOYI YVONNE,KATANGA,P.P.R.D
85,MUULWA KATAALA THOMAS,SUD-KIVU,P.P.R.D
86,MUYEJ MANGEZE RICHARD,KATANGA,P.P.R.D
87,MUYUMBA NDUBULA JACQUES,KATANGA,P.P.R.D
88,MWANGE MUSANGU MARIE LOUISE,KATANGA,P.P.R.D
89,MWENZE MUTOMBO NKUNDU,KATANGA,P.P.R.D
90,MWENZE MUJINGA DIEUDONNE,KATANGA,P.P.R.D
91,MWENZE WAKADILO ROSEN,KATANGA,P.P.R.D
92,NAWEZIA CHIKWAND ADRIEN,KATANGA,P.P.R.D
93,NDJABA KPANDE GILBERT,ORIENTALE,P.P.R.D
94,NDOMBELE LOCKO ALBERT,BAS-CONGO,P.P.R.D
95,NGALULA KALALA MAMIE,KASAÏ OCCODENTAL,P.P.R.D
96,NGBALINDIE SASA EMMANUEL,ORIENTALE,P.P.R.D
97,NGOY MUKENA LUSA-DIESE AIME,KATANGA,P.P.R.D
98,NKULU MWENZE GERARD,KATANGA,P.P.R.D
99,NYABIRUNGU MWENE SONGA,NORD-KIVU,P.P.R.D
100,NYAMI NGWAMASHI SERAPHIN,KASAÏ OCCIDENTAL,P.P.R.D
101,OBOTE SIRIKA JEAN,ORIENTALE,P.P.R.D
102,OKOTO LOLAKOMBE JEAN CHARLES,KASAÏ ORIENTAL,P.P.R.D
103,PALUKU MIKUNDI VIKWIRAHANGI,NORD-KIVU,P.P.R.D
104,MPANAMO NTAMWENGE JACQUES,SUD-KIVU,P.P.R.D
105,PETWE KAPANDE IDESBALD,KATANGA,P.P.R.D
106,RAMAZANI SHADARY EMMANUEL,MANIEMA,P.P.R.D
107,SAFARI WA KIBANCHA THOMAS VINCENT P,NORD-KIVU,P.P.R.D
108,SEBGEWI ZAMU JACQUES,EQUATEUR,P.P.R.D
109,SEKIMONYO WA MAGANGO COME,NORD-KIVU,P.P.R.D
110,SIBKASIBKA MALAUME VINCENT,NORD-KIVU,P.P.R.D
111,SINDANI MULONDE ESDRAS,NORD-KIVU,P.P.R.D
112,SINDANI ANYAMA CASIMIR,ORIENTALE,P.P.R.D
113,SUGABO NGBULABO GILBERT,ORIENTALE,P.P.R.D
114,TSHIONGO TSHIBIKUBULA WA NTUMBA G.,KASAÏ OCCIDENTAL,P.P.R.D
115,TUNDA YA KASENDE CELESTIN,KASAÏ ORIENTAL,P.P.R.D
116,UPIO KAKURA WAPOL,ORIENTALE,P.P.R.D
117,UWEKA UKABA PIERRE CLAVER,ORIENTALE,P.P.R.D
118,YAGI SITOLO JEAN,ORIENTALE,P.P.R.D
119,MAKIADI MA KINKELA EMMANUEL,BAS-CONGO,P.P.R.D
120,KILENGWA LUBAMBU ERIC,-,P.P.R.D
121,MUHIGIRWA MULUME ODERWA CHARLES,SUD-KIVU,P.P.R.D
122,PITSHI NDAMBI SYLVAIN,-,P.P.R.D
123,SUMBU LONGHOMO PAUL-IGNACE,KASAÏ ORIENTALE,P.P.R.D
1,ATHU-A-GUYIMBA ARTHUR,KINSHASA,PALU
2,BALA BALA KAWA NGANDA,BANDUNDU,PALU
3,BIETO KUTOMA SILUMBANZA,BANDUNDU,PALU
4,BYENGE MUKABI NZUJI DAVID,KASAÏ OCCIDENTAL,PALU
5,BUKASA NGO ENIN FLAVIEN,KINSHASA,PALU
6,FONO MAKIASI FULGENCE,BANDUNDU,PALU
7,GUYZANGA GUYANDIGA CLEOPHAS,KINSHASA,PALU
8,KADITANGA KIKWANZA TOUSSAINT,BANDUNDU,PALU
9,KAHUSU MAKWELA JEAN,KINSHASA,PALU
10,KAYENGA BANDAKELA JEAN,BANDUNDU,PALU
11,KAZWALA MAYANGA BERNARD,BANDUNDU,PALU
12,KIKAPA KIPANGA RUFFIN,BANDUNDU,PALU
13,KUTUDISA PANDA JEAN PIERRE,KINSHASA,PALU
14,LEMBA SALA MIDIMO FRANCOIS,BANDUNDU,PALU
15,LUETE KATEMBO RAYMOND,KASAÏ OCCIDENTAL,PALU
16,LUSASI KIMANGIDI RAPHAEL,BANDUNDU,PALU
17,LUZITO ISIPAKO JACQUES,KINSHASA,PALU
18,MABOLOKO NGULAMBANGU CHERRY-ERNEST,BANDUNDU,PALU
19,MADIKO MULENDE GEORGINE,BANDUNDU,PALU
20,MANZOMBIKULUMBAMBA BAUDOUIN,BANDUNDU,PALU
21,MAZONO ANSUR-ANKUS DONATIEN,BANDUNDU,PALU
22,MBANZA MANGWATA DELPHIN,BANDUNDU,PALU
23,METELA PULUMBA MIKABA REMY,BANDUNDU,PALU
24,MIDU SHAMUHAMBA GODEFROID,KASAÏ OCCIDENTAL,PALU
25,MUBOBO NZAMA WILLY,BANDUNDU,PALU
26,MUKWABATU BUKA THEO,BANDUNDU,PALU
27,MUKWAKANI GAHUNGU ZENON,BANDUNDU,PALU
28,MVWAMA ANEDU MARC,BANDUNDU,PALU
29,NGOLOMINGI MPELE SEBASTIEN,BANDUNDU,PALU
30,NTENY OLELLE AFYA NICOLAS,BANDUNDU,PALU
31,NTUMBA MWANGUNG ISIDORE,BANDUNDU,PALU
32,PALUKU WA MUTHETI GILBERT,NORD-KIVU,PALU
33,BASHALA KANTU A MILANDU,KASAÏ ORIENTAL,PALU
34,NKENDA KASLEMA CELESTIN,-,PALU
35,PEA-PEA NDEMBO GENEVIEVE,BANDUNDU,PALU
36,ZIMBA-ZIMBA MW-AH-KIKAR SERAPHIN,BANDUNDU,PALU
1,AGADI BUKANI BAKWA GEORGETTE,ORIENTALE,MLC
2,AKPÄNZA MOBULI NICOLAS,EQUATEUR,MLC
3,ALENGE NADONYE GUSTAVE,EQUATEUR,MLC
4,AMBUKU GOTY WATSAKOKE A.M,EQUATEUR,MLC
5,BABALA WANDU FIDELE,KINSHASA,MLC
6,BALENGOLA BANYELE HENRY,EQUATEUR,MLC
7,BANGALYBA BALY JEAN PIERRE,BAS-CONGO,MLC
8,BIDIU NKEBI LAJOS,BAS-CONGO,MLC
9,BIE BONGENGE MICHELINE,EQUATEUR,MLC
10,BOBE YABOY JEAN PIERRE,EQUATEUR,MLC
11,BOLENGE YOMA TITCHOU,KINSHASA,MLC
12,BOMBOLE INTOLE ADAM,KINSHASA,MLC
13,BOONGO NKOY PANCRACE,EQUATEUR,MLC
14,BOTOKO IMEKA LEON,EQUATEUR,MLC
15,BULE GBANGOLO BASABE MOH.,ORIENTALE,MLC
16,DEGBALASE KANDA ADELE,EQUATEUR,MLC
17,BUSSA TONGBA JENA LUCIEN,EQUATEUR,MLC
18,DIKUYI MUBOYAYI ANACLET,KASAÏ ORIENTAL,MLC
19,DJEMA NGOY LUMA JOSEPH,EQUATEUR,MLC
20,DUNIA BARAKANI FAUSTIN,NORD-KIVU,MLC
21,EGWAKE YA NGEMBE OMER,EQUATEUR,MLC
22,EHOLO EONI NORBERT,EQUATEUR,MLC
23,ETULA LIBANGE ERNEST,ORIENTALE,MLC
24,GBANDAZWA MASIBANDO CHRYSOSTOME,ORIENTALE,MLC
25,GIBGA GITE ALBERT,EQUATEUR,MLC
26,KABENGELA NGOY DOMINIQUE,KINSHASA,MLC
27,KABONGO NGOY EUGENE,KINSHASA,MLC
28,KAMBALA ILUNGA FAUSTIN,KASAÏ OCCIDENTAL,MLC
29,KANDE MUPOMPA ALEX,KASAÏ OCCIDENTAL,MLC
30,KANYI NZIA DONATIEN,ORIENTALE,MLC
31,KASHOBA KABONSHI DENIS,KATANGA,MLC
32,KATALAY M’BURUBALO JACQUES,BANDUNDU,MLC
33,KIMEME BIN RUKOHE JACQUES-PROTAIS,NORD-KIVU,MLC
34,KISOMBE BISIKA LISASI YVES ETIENNE,KINSHASA,MLC
35,KUMALUTA SHANGU MICHEL,KASAÏ OCCIDENTAL,MLC
36,KUNDA KISENGA MILUNDU FULBERT,KATANGA,MLC
37,KUTONDA KOLAMI KIALA EMMANUEL,BANDUNDU,MLC
38,LIPEMBA IKPANGA PASCAL,EQUATEUR,MLC
39,LOMANGA LONGENGA JEAN ROBERT,EQUATEUR,MLC
40,LOMATA ETITINGI EUGENE,EQUATEUR,MLC
41,LUHAKA LOSENDJOLA THOMAS,KINSHASA,MLC
42,LUNGUANA MATUMONA JACQUES,BAS-CONGO,MLC
43,MASUKA SAINI FIFI,KATANGA,MLC
44,MAYOMBE MUMBYOKO PATRICK,BAS-CONGO,MLC
45,MBUEMBUE KASEU CYRILLE,KASAÏ OCCIDENTAL,MLC
46,MILEMBA BUKASA ANGELIQUE,KASAÏ ORIENTAL,MLC
47,M’PETI BIYOMBO ALBERT,BANDUNDU,MLC
48,MUAMBA MULUNDA BENJAMIN,KASAÏ ORIENTAL,MLC
49,MUAMBA TSHISHIMBI FRANCOIS,KASAÏ ORIENTAL,MLC
50,MUDIZO MUSENGO DIDIER,KINSHASA,MLC
51,MUSUNGAY BAMPALE REMY,KASAÏ OCCIDENTAL,MLC
52,MUTIRI WA BASHARA ELVIS,NORD-KIVU,MLC
53,N’DOM NDA OMBEL CONSTANT,BANDUNDU,MLC
54,NGENDENZA EZUNGA VINCENT,EQUATEUR,MLC
55,NGOYI MUKANKU JEAN NATHANAËL,KASAÏ ORIENTAL,MLC
56,NTUMBA TORRO WA NTUMBA ROGER,KASAÏ OCCIDENTAL,MLC
57,POND KAYAMB JEAN PAUL,KASAÏ ORIENTAL,MLC
58,ROGHO NGIMALE THEOBALD-BLAISE,EQUATEUR,MLC
59,SESANGA IPUNGU WA DJAKASENGA DELLY,KASAÏ OCCIDENTAL,MLC
60,SIMA KRULIKEMUN JACQUES,BANDUNDU,MLC
61,TSHIBUYI MITAMBE MARCEL,KASAÏ ORIENTAL,MLC
62,TSHIMANGA BUANA JEAN PIERRE,KASAÏ OCCIDENTAL,MLC
63,TUTU TEDEZA KANGO GILBERT,ORIENTALE,MLC
64,WANDO WANDATA JOSEPH,EQUATEUR,MLC
1,ADIRODU MAWAZO BAUDOUIN,ORIENTALE,FORCES DE RENOUVEAU
2,ANZIAMA KAMUZIBANI DIEUDONNE,ORIENTALE,FORCES DE RENOUVEAU
3,AZA BHATRE MARTIN,ORIENTALE,FORCES DE RENOUVEAU
4,BAHATI VISTANGE EMMENUEL,NORD-KIVU,FORCES DE RENOUVEAU
5,BARIHIMA KA-BUTSIRI JEAN BOSCO,NORD-KIVU,FORCES DE RENOUVEAU
6,BATA KYALA NGANGU SERAPHIN,BANDUNDU,FORCES DE RENOUVEAU
7,BEYEYE DJEMA CHRISTOPHE,KASAÏ OCCIDENTAL,FORCES DE RENOUVEAU
8,BONDOMISO BEBISYAME CELESTIN,ORIENTALE,FORCES DE RENOUVEAU
9,BUDU TANDEMA VITAL,ORIENTALE,FORCES DE RENOUVEAU
10,FURABO TONDABO MYLET,ORIENTALE,FORCES DE RENOUVEAU
11,ISOMELA IYONGHA LOFALATA FREDDY,ORIENTALE,FORCES DE RENOUVEAU
12,IYAMULEME BARAGOMANWA CYPRIEN,NORD-KIVU,FORCES DE RENOUVEAU
13,KABIMBI NGOY MWANA GOY CHE,KATANGA,FORCES DE RENOUVEAU
14,KAKULE SUMBUSU MUHIMA,NORD-KIVU,FORCES DE RENOUVEAU
15,KAMATE LUKUNDU JEROME,NORD-KIVU,FORCES DE RENOUVEAU
16,KASINDI YUMBE SULBALI ZEPHIRIN,KATANGA,FORCES DE RENOUVEAU
17,KATENDE WA NDAYA GREGOIRE,KASAÏ ORIENTAL,FORCES DE RENOUVEAU
18,KIKADI GAPONGOLO WILFRID,KASAÏ OCCIDENTAL,FORCES DE RENOUVEAU
19,KIPELE AKYAZUA LUCIE,ORIENTALE,FORCES DE RENOUVEAU
20,KYAVIRO MALEMO JEAN LUOIS ERNEST,NORD-KIVU,FORCES DE RENOUVEAU
21,LUSENGE KAKULE GREGOIRE,NORD-KIVU,FORCES DE RENOUVEAU
22,MAKHANA MANZENZA ALAIN,KINSHASA,FORCES DE RENOUVEAU
23,MAPATI KAHINDO,NORD-KIVU,FORCES DE RENOUVEAU
24,MASALA LOKA MUTOMBO HUBERT,BANDUNDU,FORCES DE RENOUVEAU
25,MBAYO KILUMBA EUGENIE,KATANGA,FORCES DE RENOUVEAU
26,MBUKU LAKA BORIS,BANDUNDU,FORCES DE RENOUVEAU
27,MIDI GIAMANY ZOZEY AMBROISE,KINSHASA,FORCES DE RENOUVEAU
28,MPETSHI WOOTO BERNARD,KASAÏ ORIENTAL,FORCES DE RENOUVEAU
29,MUGIRANEZA NDIZEYE JULES,NORD-KIVU,FORCES DE RENOUVEAU
30,NGOMA DI NZAU MATONE JOSEPH,BAS-CONGO,FORCES DE RENOUVEAU
31,NKIZINKIKO MPAWE NEPHTALI,NORD-KIVU,FORCES DE RENOUVEAU
32,NKULU MUPENDA MUKALA JACQUES,KATANGA,FORCES DE RENOUVEAU
33,NSIALA WA BANSIALA JEAN PIERRE,BAS-CONGO,FORCES DE RENOUVEAU
34,NTUMBA PETUMPENYI WILLY MERCIER,KASAÏ OCCIDENTAL,FORCES DE RENOUVEAU
35,OMBA BINDIMONO GUSTAVE,MANIEMA,FORCES DE RENOUVEAU
36,PUELA ALBERT FABRICE,BAS-CONGO,FORCES DE RENOUVEAU
37,SHALO DUDU MARTIN,ORIENTALE,FORCES DE RENOUVEAU
38,UKUMU NYAMULOKA JEAN BOSCO,ORIENTALE,FORCES DE RENOUVEAU
39,WANGA KIPANGU ARTHUR,KINSHASA,FORCES DE RENOUVEAU
40,UWOR CWINYA’AY YVON,KINSHASA,FORCES DE RENOUVEAU
41,YANGA KIDIAMENE YVON,KINSHASA,FORCES DE RENOUVEAU
42,ZULU KILO ABI FABIEN EMERY,BANDUNDU,FORCES DE RENOUVEAU
1,BANZA LUPUSA BIATA BIALE B,KATANGA,MSR ET ALLIES
2,BAPOLISI BUHUGA POLEPOLE P.,SUD-KIVU,MSR ET ALLIES
3,BIASIMA LALA ROSE,BANDUNDU,MSR ET ALLIES
4,BITAKUYA DUNIA PUIS,SUD-KIVU,MSR ET ALLIES
5,BOLENGETENGE BALEA DIEUDONNE,ORIENTALE,MSR ET ALLIES
