minister,country,startdate,enddate,position
Jean-Pierre Lisanga Bonganga,DRC,2017-05-09,2019-01-23,Relations with the Parliament
Jean-Pierre Lola Kisanga,DRC,2004-07-11,2005-01-03,Labour and Social Security
Jean-Pierre Ondekane,DRC,2003-07-30,2005-01-03,"Defence, Demobilisation and Veterans"
Jeanne Ebamba Boboto,DRC,2000-09-02,2001-01-16,Social Affairs
Jeanne Ebamba Boboto,DRC,2001-04-14,2003-07-30,Social Affairs
Jeannette Kavira Mapera,DRC,2010-02-19,2012-04-28,Culture and Arts
Jeannine Mabunda Lioko Mudiayi,DRC,2007-02-05,2012-04-28,Parastatals
Jeannot Matadi Nenga Ngamanda,DRC,2014-12-09,2016-12-19,Energy and Water Resources
John Kwet Mwan Kwet,DRC,2017-05-09,2019-01-23,Cooperation and Development
John Ntumba Panumpakole,DRC,2019-08-26,2019-12-31,"Vocational Training, Arts, and Crafts"
John Tibasima,DRC,2003-07-30,2007-02-05,Urban Development
Jonathan Bialosuka Wata,DRC,2019-08-26,2019-12-31,Fishing and Livestock
Jose Endundu Bonongo,DRC,2003-07-30,2005-01-03,Public Works and Infrastructure
Jose Endundu Bonongo,DRC,2007-11-26,2008-10-26,Environment and Tourism
Jose Endundu Bonongo,DRC,2008-10-26,2010-02-19,Environment
Jose Endundu Bonongo,DRC,2010-02-19,2012-04-28,Environment and Tourism
Jose Engbanda,DRC,2004-01-22,2007-02-05,Tourism
Jose Mpanda Kabangu,DRC,2019-08-26,2019-12-31,Scientific Research and Technical Innovation
Jose Sele Yalaghuli,DRC,2019-08-26,2019-12-31,Finance
Joseph Kapika,DRC,2017-05-09,2019-01-23,Economy
Joseph Kokonyangi,DRC,2016-12-19,2019-01-23,Urban Planning and Housing
Joseph Martin Kitumba Gagedi Gasagisa Mwanza,DRC,2011-09-11,2012-04-28,Transport
Joseph Mudumbi,DRC,2003-07-30,2004-07-11,Parastatals
Joseph Mudumbi,DRC,2004-07-11,2005-01-03,Higher Education and University
Joseph Olenghankoy,DRC,2003-07-30,2005-01-03,Transport
Joseph Utitiyo Apata,DRC,2008-10-26,2010-02-19,Scientific Research
José Makila Sumanda,DRC,2005-02-17,2006-10-16,Public Works and Infrastructure
José Makila Sumanda,DRC,2016-12-19,2019-01-23,Vice-Prime Minister and Minister of Transport
Julien Paluku Kahongy,DRC,2019-08-26,2019-12-31,Industry
Julienne Lumumba,DRC,1998-06-01,2001-01-16,Culture and Arts
Justin Bitakwira,DRC,2016-12-19,2017-05-09,Relations with the Parliament
Justin Bitakwira,DRC,2017-05-09,2019-01-23,Human Rights
Justin Kalumba Mwana Ngongo,DRC,2011-09-11,2012-04-28,Trade
Justin Kalumba Mwana Ngongo,DRC,2012-04-28,2016-12-19,Transport
Justin Kalumba Mwana Ngongo,DRC,2019-08-26,2019-12-31,Small and Medium Enterprises
Justin Kangundu,DRC,2003-07-30,2004-01-22,Agriculture
Kakez Ekir Kaz'Azama,DRC,2000-11-20,2001-01-16,Human Rights
Kalema Lusona,DRC,2003-07-30,2005-01-03,Energy
Kamara wa Kahikara,DRC,1997-05-23,2000-11-20,Education
Kasongo Ilunga,DRC,2007-02-05,2007-05-28,Foreign Trade
Kikaya bin Karubi,DRC,2001-04-14,2003-07-30,Communications and Press
Kisimba Ngoy,DRC,2003-07-30,2006-10-16,Justice
Kisimba Ngoy,DRC,2008-10-26,2012-04-28,Lands
Kudianga Bayokisa,DRC,2014-12-09,2016-12-19,Commerce
Kutumisa Tshioka,DRC,2001-04-14,2003-07-30,Education
Kyamusoke Bamusulanga Nta-Bote,DRC,2007-02-05,2007-11-26,Posts and Telecommunications
Lambert Matuku,DRC,2016-12-19,2019-01-23,"Employment, Work and Social Security"
Lambert Mende Omalanga,DRC,2007-02-05,2008-10-26,Hydrocarbons
Lambert Mende Omalanga,DRC,2008-10-26,2012-04-28,Communications and Media
Lambert Mende Omalanga,DRC,2012-04-28,2014-12-09,"Media, in charge of Relations with Parliament and Initiation to the new citizenship"
Lambert Mende Omalanga,DRC,2014-12-09,2019-01-23,Communications and Media
Laure-Marie Kawanda Kayena,DRC,2010-02-19,2011-05-03,Transport
Laurent Muzangisa,DRC,2008-10-26,2010-02-19,Energy
Laurent-Simon Ikenge Lisambola,DRC,2007-02-05,2007-11-26,Urban Development and Housing
Laurent-Simon Ikenge Lisambola,DRC,2007-11-26,2008-10-26,Civil Service
Liliane Mpande Mwaba,DRC,2007-02-05,2007-11-26,Lands
Louis Alphonse Koyagialo Ngbasete Gerengbo,DRC,2011-09-11,2012-04-28,Vice-Prime Minister and Minister of Posts and Telecommunications
Louise Munga Mesozi,DRC,2007-11-26,2010-02-19,Posts and Telecommunications
Louise Munga Mesozi,DRC,2012-04-28,2016-12-19,Parastatals
Lucie Kipele Aki Azwa,DRC,2015-09-25,2016-12-19,"Gender, Family, and Children"
Lumeya Dhu-Maleghi,DRC,2017-05-09,2019-01-23,Lands
Luzolo Mbambi Ntesa,DRC,2008-10-26,2010-02-19,Justice
Luzolo Mbambi Ntesa,DRC,2010-02-19,2012-04-28,Justice and Human Rights
Lèonard She Okitundu,DRC,1998-06-01,2000-11-20,Human Rights
Lèonard She Okitundu,DRC,2000-11-20,2001-01-16,Foreign Affairs and International Cooperation
Lèonard She Okitundu,DRC,2001-04-14,2003-07-30,Foreign Affairs and International Cooperation
Lèonard She Okitundu,DRC,2016-12-19,2019-01-23,Vice-Prime Minister and Minister of Foreign Affairs and Regional Integration
Léonard Mashako Mamba,DRC,1999-03-14,2001-01-16,Health
Léonard Mashako Mamba,DRC,2001-04-14,2003-07-30,Health
Léonard Mashako Mamba,DRC,2008-10-26,2012-04-28,Higher Education and University
Léonard Masuga Rugamika,DRC,2007-11-26,2008-10-26,"Higher Education, University, and Scientific Research"
Maguy Kiala Bolenga,DRC,2016-12-19,2019-01-23,Youth and and Initiation to Citizenship
Maker Mwangu Famba,DRC,2007-02-05,2014-12-09,Primary and Secondary Education and Professional Training
Maker Mwangu Famba,DRC,2014-12-09,2016-12-19,Primary and Secondary Education and Initiation to Citizenship
Marcel Amos Mbayo Kitenge,DRC,2019-08-26,2019-12-31,Sports and Leisure
Marcel Ilunga Leu,DRC,2016-12-19,2019-01-23,Industry
Marcel Malenso Ndodila,DRC,2007-02-05,2007-11-26,Culture and Arts
Marco Banguli N’sambwe Mbali,DRC,2005-11-18,2007-02-05,Finance
Marie Tumba Nzeza,DRC,2019-08-26,2019-12-31,Foreign Affairs
Marie-Ange Lukiana Mufwankol,DRC,2001-04-14,2003-07-30,Labour and Social Security
Marie-Ange Lukiana Mufwankol,DRC,2007-02-05,2008-10-26,Labour and Social Security
Marie-Ange Lukiana Mufwankol,DRC,2008-10-26,2012-04-28,Women Affairs
Marie-Ange Mushobekwa,DRC,2016-12-19,2019-01-23,Human Rights
Marie-Louise Mwange,DRC,2016-12-19,2017-05-09,"Gender, Family, and Children"
Marie-Madeleine Kalala,DRC,2003-07-30,2007-02-05,Human Rights
Marthe Ngalula Wakuana,DRC,2001-04-14,2003-07-30,Culture and Arts
Martin Bitijula Mahimba,DRC,2007-02-05,2007-11-26,Social Affairs and National Solidarity
Martin Kabwelulu Labilo,DRC,2007-02-05,2019-01-23,Mines
Martine Ntumba Bukasa,DRC,2016-12-19,2017-05-09,Rural Development
Mathieu Kalele Kabila,DRC,2006-10-16,2007-02-05,Mines
Matthieu Mpika,DRC,2008-10-26,2010-02-19,Transport
Matungulu Nguyamu,DRC,2001-04-14,2002-11-17,"Economy, Finance and Budget"
Matungulu Nguyamu,DRC,2002-11-17,2003-07-30,Finance and Budget
Mbusa Nyamwisi,DRC,2003-07-30,2007-02-05,Regional Cooperation
Mbusa Nyamwisi,DRC,2007-02-05,2008-10-26,Foreign Affairs and International Cooperation
Mbusa Nyamwisi,DRC,2008-10-26,2011-09-11,Decentralization and Regional Planning
Michel Bongongo Ikoli Ndombo,DRC,2014-12-09,2016-12-19,Budget
Michel Bongongo Ikoli Ndombo,DRC,2016-12-19,2019-01-23,Civil Service
Michel Botoro,DRC,2008-10-26,2010-02-19,Civil Service
Michel Lokola Elemba,DRC,2008-10-26,2010-02-19,Budget
Mira Ndjoko,DRC,2001-04-14,2002-11-17,Interior
Modeste Bahati Lukwebo,DRC,2012-04-28,2014-12-09,"Employment, Work and Social Security"
Modeste Bahati Lukwebo,DRC,2014-12-09,2017-05-09,Economy
Modeste Bahati Lukwebo,DRC,2017-05-09,2019-01-23,Planning
Modeste Mutombo Kyamakosa,DRC,2003-07-30,2003-10-05,Finance
Moleko Moliwa,DRC,1999-03-14,2000-09-02,Social Affairs
Moïse Nyarugabo Muhizi Mugeyo,DRC,2006-10-10,2007-02-05,Economy
Mukendi Tshambula,DRC,2005-11-18,2006-10-16,Industry and Small and Medium Enterprises
Mwenze Kongolo,DRC,1998-01-03,2001-01-16,Justice
Mwenze Kongolo,DRC,2001-04-14,2002-11-17,National Security and Public Order
Nene Nkulu Ilunga,DRC,2019-08-26,2019-12-31,"Labour, Employment and Social Security"
Ngele Masudi,DRC,2001-04-14,2003-07-30,Justice
Nionyi Bwana Kawa,DRC,2006-10-16,2007-02-05,Primary and Secondary Education and Professional Training
Nkodi Mbaki,DRC,2001-04-14,2003-07-30,"Public Works, Territorial Administration, Housing and Urban Development"
Nkulu Mitumba Kilombo,DRC,2007-02-05,2008-10-26,Minister without Portfolio
Norbert Basengezi Katitima,DRC,2008-10-26,2012-04-28,Agriculture
Norbert Likulia Bolongo,DRC,2000-09-02,2001-01-16,Enterprises
Ntumba Luaba,DRC,2001-04-14,2003-07-30,Human Rights
Odelive Meta Mutombo Mudiay,DRC,2000-09-02,2001-01-16,Regional Cooperation
Odette Babandoya Etowa,DRC,1999-03-14,2000-09-02,Transport and Communications
Olivier Kamitatu Etsu,DRC,2007-02-05,2012-04-28,Planning
Olivier Kamitatu Etsu,DRC,2014-12-09,2015-09-25,Planning and Implementation of the Modernisation Revolution
Oly Ilunga Kalenga,DRC,2016-12-19,2019-01-23,Health
Omer Engwake,DRC,2003-07-30,2005-02-17,Youth and Sports
Omer Engwake,DRC,2014-12-09,2016-12-19,"Spatial planning, Town planning and Housing"
Paluku Kisaka Yereyere,DRC,2016-12-19,2017-05-09,"Social Affairs, Humanitarian Action and National Solidarity"
Paluku Kisaka Yereyere,DRC,2017-05-09,2019-01-23,Fishing and Livestock
Papy Niango,DRC,2017-05-09,2019-01-23,Sports
Pardone Kaliba Mulanga,DRC,2003-07-30,2006-10-16,Rural Development
Pardone Kaliba Mulanga,DRC,2007-02-05,2007-11-26,Youth and Sports
Patrice Kitebi Kibol Mvul,DRC,2012-04-28,2014-12-09,Finance
Patrick Mayombe Mumbioko,DRC,2016-12-19,2017-05-09,Agriculture
Patrick Sulubika,DRC,2008-10-26,2010-02-19,Youth and Sports
Paul Musafiri,DRC,2005-02-17,2005-11-18,Agriculture
Paul Musafiri,DRC,2005-11-18,2006-10-16,Primary and Secondary Education and Professional Training
Paul-Gabriel Kapita Shabangi,DRC,1999-03-14,2000-09-02,"Civil Service, Labour and Social Security"
Pepin Guillaume Manjolo Buakila,DRC,2019-08-26,2019-12-31,"International Cooperation, Regional Integration and Francophonie"
Philemon Mukendi,DRC,2005-11-18,2007-02-05,Culture and Arts
Philippe Kohotama Mawuoko,DRC,2001-04-14,2003-07-30,Posts and Telecommunications
Philippe Undji Yangya,DRC,2010-02-19,2011-09-11,Rural Development
Philomène Omatuku,DRC,2006-10-16,2007-02-05,Industry and Small and Medium Enterprises
Philomène Omatuku Atshakawo Akatshi,DRC,2007-02-05,2008-10-26,Women Affairs
Pierre Anatole Matusila,DRC,2016-12-19,2017-05-09,Energy and Water Resources
Pierre Ilunga Bindu wa Biluba,DRC,2006-10-16,2007-02-05,Justice
Pierre Kangudia Mbayi,DRC,2016-12-19,2019-01-23,Budget
Pierre Lumbi Okongo,DRC,2007-02-05,2010-02-19,"Infrastructure, Public Works, and Reconstruction"
Pierre Manoka,DRC,2005-11-18,2006-03-24,Economy
Pierre Muzumba Mwana Ombe,DRC,2005-01-03,2005-11-18,Energy
Pierre-Victor Mpoyo,DRC,1999-03-14,2000-11-20,Oil
Pierre-Victor Mpoyo,DRC,2000-11-20,2001-01-16,Minister without Portfolio
Pierrette Gene Vungbo Yatalo,DRC,2003-09-06,2004-07-11,Culture
Pierrot Uweka Ukaba,DRC,2017-05-09,2019-01-23,"Vocational training, Trades and Crafts"
Pius Mwabilu Mabyu,DRC,2019-08-26,2019-12-31,Urban Affairs and Housing
Prosper Kibue Molambo,DRC,1999-03-14,2000-11-20,Posts and Telecommunications
Prosper Kibue Molambo,DRC,2000-11-20,2001-01-16,Public Works
Raymond Ramazani Baya,DRC,2004-07-22,2007-02-05,Foreign Affairs and International Cooperation
Raymond Tshibanda N’tunga Mulongo,DRC,2008-10-26,2012-04-28,International and Regional Cooperation
Raymond Tshibanda N’tunga Mulongo,DRC,2012-04-28,2016-12-19,"Foreign Affairs, International Cooperation and Francophonie"
Remy Henri Kuseyo Gatanga,DRC,2007-02-05,2007-10-05,Transport and Communications
Remy Musungayi Bampale,DRC,2012-04-28,2014-12-09,"Industry, Small and Medium Enterprises"
René Isekemanga Nkeka,DRC,2008-10-26,2010-02-19,Hydrocarbons
Richard Muyej Mangenz,DRC,2010-02-19,2012-04-28,Relations with the Parliament
Richard Muyej Mangenz,DRC,2012-04-28,2014-12-09,"Interior, Security, Decentralization and Customary Affairs"
Robert Bopolo Bogeza,DRC,2015-09-25,2016-12-19,Environment and Sustainable Development
Robert Mbwinga Bila,DRC,2012-04-28,2014-12-09,Lands
Roger Lumbala,DRC,2003-07-30,2005-01-03,Foreign Trade
Roger Nimy,DRC,2003-07-30,2004-01-22,Tourism
Roger Nimy,DRC,2005-02-17,2005-11-18,Youth and Sports
Romain Nimy Tembo,DRC,2006-10-16,2007-02-05,Agriculture
Rose Boyata Monkaju,DRC,2019-08-26,2019-12-31,Social Affairs
Rubens Mikindo Muhima,DRC,2019-08-26,2019-12-31,Hydrocarbons
Safi Adili,DRC,2008-10-26,2010-02-19,Rural Development
Salomon Banamuhere Baliene,DRC,2001-04-14,2003-07-30,"Land Affairs, Environment and Tourism"
Salomon Banamuhere Baliene,DRC,2005-11-18,2006-10-16,Energy
Salomon Banamuhere Baliene,DRC,2007-02-05,2008-10-26,Energy
Salomon Banamuhere Baliene,DRC,2014-12-09,2016-12-19,Decentralization and Customary Affairs
Sama Lukonde Kyenge,DRC,2014-12-09,2015-09-25,Youth and Sports
Samy Badibanga,DRC,2016-12-19,2017-04-06,Prime Minister
Sessanga Hipung Dja Kaseng,DRC,2006-03-24,2006-10-16,Planning
Simon Bawangamio Tumawako,DRC,2001-04-14,2003-07-30,Mines and Hydrocarbons
Simon Bulupiy Galati,DRC,2010-02-19,2011-09-11,Vice-Prime Minister and Minister of Posts and Telecommunications
Simon Bulupiy Galati,DRC,2011-09-11,2012-04-28,Labour
Simon Mboso Kiamputu,DRC,2007-02-05,2007-11-26,Industry
Simon Mboso Kiamputu,DRC,2007-11-26,2008-10-26,Industry and Small and Medium Enterprises
Simon Mboso Kiamputu,DRC,2008-10-26,2010-02-19,Industry
Steve Mbikayi Mabuluki,DRC,2016-12-19,2019-01-23,Higher Education and University
Steve Mbikayi Mabuluki,DRC,2019-08-26,2019-12-31,Humanitarian Action and National Solidarity
Sylvain Joël Bifuila Tshamuala,DRC,2007-02-05,2007-11-26,Economy
Sylvain Maurice Masheke,DRC,2016-12-19,2017-05-09,Culture and Arts
Sylvain Ngabu Chumbu,DRC,2007-02-05,2007-11-26,Higher Education and University
Sylvain Ngabu Chumbu,DRC,2007-11-26,2008-10-26,Urban Development and Housing
Sylvanus Mushi Bonane,DRC,2007-02-05,2007-07-13,Scientific Research
Sylvestre Ilunga Ilunkamba,DRC,2019-08-26,2019-12-31,Prime Minister
Symphorien Mutombo Bakafwa Nsenda,DRC,2007-11-26,2008-10-26,Justice and Human Rights
Symphorien Mutombo Bakafwa Nsenda,DRC,2008-10-26,2010-02-19,Vice-Prime Minister
Tharcisse Habarugira,DRC,2006-10-16,2007-02-05,"Defence, Demobilisation and Veterans"
Theo Baruti,DRC,2003-07-30,2004-07-11,Labour and Social Security
Theo Baruti,DRC,2005-11-18,2007-02-05,Higher Education and University
Thomas Luhaka Losenjola,DRC,2014-12-09,2016-12-19,"Vice-Prime Minister and Minister of Posts, Telecommunications and New Information and Communication Technologies"
Thomas Luhaka Losenjola,DRC,2016-12-19,2019-01-23,"Infrastructure, Public Works, and Reconstruction"
Thomas Luhaka Losenjola,DRC,2019-08-26,2019-12-31,Higher Education and University
Théophile Mbemba Fundu,DRC,2002-11-17,2003-07-30,Interior
Théophile Mbemba Fundu,DRC,2003-07-30,2006-10-10,"Interior, Decentralization and Security"
Théophile Mbemba Fundu,DRC,2014-12-09,2016-12-19,Higher Education and University
Timothèe Moleka Nzulama,DRC,2001-04-14,2003-07-30,Youth and Sports
Timothée Mukeba,DRC,2006-10-16,2007-02-05,Youth and Sports
Toussaint Tshilombo Send,DRC,2007-02-05,2007-11-26,"Information, Press, and National Communications"
Tryphon Kin-Kiey Mulumba,DRC,2012-04-28,2014-12-09,"Posts, Telecommunications and New Information and Communication Technologies"
Tryphon Kin-Kiey Mulumba,DRC,2014-12-09,2016-12-19,Relations with the Parliament
Tshibangu Kalala,DRC,2017-05-09,2019-01-23,Minister without Portfolio
Tshubaka Bisikuabo,DRC,1999-03-14,2000-09-02,"Lands, Environment, Fishing and Forest Resources"
Tshubaka Bisikuabo,DRC,2000-09-02,2000-11-20,"Housing, Environment and Tourism"
Tshubaka Bisikuabo,DRC,2000-11-20,2001-01-16,Oil
Upio Kakura Wapol,DRC,2008-10-26,2010-02-19,Human Rights
Valentin Senga,DRC,2004-01-22,2005-02-17,Agriculture
Venant Tshipasa,DRC,2003-07-30,2007-02-05,Lands
Venant Tshipasa,DRC,2016-12-19,2017-05-09,Customary Affairs
Victor Makwenge Kaput,DRC,2007-02-05,2008-10-26,Health
Victor Makwenge Kaput,DRC,2010-02-19,2012-04-28,Health
Vital Kamerhe,DRC,2003-07-30,2004-07-11,Information and Press
Willy Bakonga,DRC,2007-11-26,2008-10-26,Youth and Sports
Willy Bakonga,DRC,2016-12-19,2017-05-09,Sports
Willy Bakonga,DRC,2019-08-26,2019-12-31,"Primary, Secondary, and Technical Education"
Willy Kitobo Samsoni,DRC,2019-08-26,2019-12-31,Mines
Willy Makiashi,DRC,2014-12-09,2016-12-19,"Vice-Prime Minister and Minister of Employment, Work and Social Security"
Willy Ngoopos Sunzhel,DRC,2019-08-26,2019-12-31,Vice-Prime Minister and Minister of Infrastructure and Public Works
Wivine Mumba Matipa,DRC,2012-04-28,2014-12-09,Justice and Human Rights
Wivine Mumba Matipa,DRC,2016-12-19,2019-01-23,Parastatals
Xavier Idi Muanuke,DRC,2006-10-16,2007-02-05,Rural Development
Yagi Sitolo,DRC,1999-03-14,2000-11-20,Public Works
Yagi Sitolo,DRC,2000-11-20,2001-01-16,Posts and Telecommunications
Yagi Sitolo,DRC,2003-07-30,2004-07-11,Health
Yollande Ebongo Bosongo,DRC,2019-08-26,2019-12-31,Civil Service
Yves Bonkulu Zola,DRC,2019-08-26,2019-12-31,Tourism
Zacharie Kashongwe,DRC,2006-10-10,2007-02-05,Health
Zéphyrin Mutu Diambu-di-Lusala Nieva,DRC,2007-02-05,2007-11-26,Civil Service
Évariste Boshab Mabudj-ma-Bilenge,DRC,2014-12-09,2016-12-19,Vice-Prime Minister and Minister of Interior and Security
