@@,item,name,positionitem,position,start,end
+++,Q96244251,Jeanne Ebamba Boboto,Q108730998,Social Affairs,2001-04-14,2003-07-30
+++,Q96244251,Jeanne Ebamba Boboto,Q108730998,Social Affairs,2000-09-02,2001-01-16
+++,Q16195146,Jeannette Kavira Mapera,Q54100574,Culture and Arts,2010-02-19,2012-04-28
+++,Q63382184,Jeannine Mabunda Lioko Mudiayi,Q112221026,Parastatals,2007-02-05,2012-04-28
+++,,Jeannot Matadi Nenga Ngamanda,Q112220996,Energy and Water Resources,2014-12-09,2016-12-19
+++,,John Kwet Mwan Kwet,Q112220988,Cooperation and Development,2017-05-09,2019-01-23
+++,Q97368316,John Ntumba Panumpakole,Q112221053,"Vocational Training, Arts, and Crafts",2019-08-26,
+++,,John Tibasima,Q112221052,Urban Development,2003-07-30,2007-02-05
+++,Q106904755,Jonathan Bialosuka Wata,Q112221000,Fishing and Livestock,2019-08-26,
+++,,Jose Endundu Bonongo,Q112220998,Environment,2008-10-26,2010-02-19
+++,,Jose Endundu Bonongo,Q112220998,Environment and Tourism,2010-02-19,2012-04-28
+++,,Jose Endundu Bonongo,Q112220998,Environment and Tourism,2007-11-26,2008-10-26
+++,,Jose Endundu Bonongo,Q112221035,Public Works and Infrastructure,2003-07-30,2005-01-03
+++,Q108692448,Jose Engbanda,Q54437053,Tourism,2004-01-22,2007-02-05
+++,Q105798778,Jose Mpanda Kabangu,Q112221044,Scientific Research and Technical Innovation,2019-08-26,
+++,Q47171524,Joseph Kapika,Q112220992,Economy,2017-05-09,2019-01-23
+++,,Joseph Kokonyangi,Q112221052,Urban Planning and Housing,2016-12-19,2019-01-23
+++,Q107475186,Joseph Martin Kitumba Gagedi Gasagisa Mwanza,Q112221051,Transport,2011-09-11,2012-04-28
+++,,Joseph Mudumbi,Q112221003,Higher Education and University,2004-07-11,2005-01-03
+++,,Joseph Mudumbi,Q112221026,Parastatals,2003-07-30,2004-07-11
+++,Q28497506,Joseph Olenghankoy,Q112221051,Transport,2003-07-30,2005-01-03
+++,,Joseph Utitiyo Apata,Q112221044,Scientific Research,2008-10-26,2010-02-19
+++,Q3186402,José Makila Sumanda,Q112221035,Public Works and Infrastructure,2005-02-17,2006-10-16
+++,Q3186402,José Makila Sumanda,Q112221051,Vice-Prime Minister and Minister of Transport,2016-12-19,2019-01-23
->,Q90354281,José Sele Yalaghuli->Jose Sele Yalaghuli,Q97366094,Minister of Finance->Finance,2019-08-01->2019-08-26,2021-04-01
+++,,Julien Paluku Kahongy,Q112221009,Industry,2019-08-26,
+++,,Julienne Lumumba,Q54100574,Culture and Arts,1998-06-01,2001-01-16
+++,Q20740642,Justin Bitakwira,Q112221005,Human Rights,2017-05-09,2019-01-23
+++,Q20740642,Justin Bitakwira,Q112221041,Relations with the Parliament,2016-12-19,2017-05-09
+++,Q3190458,Justin Kalumba Mwana Ngongo,Q112221045,Small and Medium Enterprises,2019-08-26,
+++,Q3190458,Justin Kalumba Mwana Ngongo,Q54430447,Trade,2011-09-11,2012-04-28
+++,Q3190458,Justin Kalumba Mwana Ngongo,Q112221051,Transport,2012-04-28,2016-12-19
+++,,Justin Kangundu,Q54429353,Agriculture,2003-07-30,2004-01-22
+++,,Kakez Ekir Kaz'Azama,Q112221005,Human Rights,2000-11-20,2001-01-16
+++,,Kalema Lusona,Q112220996,Energy,2003-07-30,2005-01-03
+++,,Kamara wa Kahikara,Q112220993,Education,1997-05-23,2000-11-20
+++,Q1735013,Kasongo Ilunga,Q56515760,Foreign Trade,2007-02-05,2007-05-28
+++,Q3196526,Kikaya bin Karubi,Q112220985,Communications and Press,2001-04-14,2003-07-30
+++,Q3280404,Kisimba Ngoy,Q112221015,Justice,2003-07-30,2006-10-16
+++,Q3280404,Kisimba Ngoy,Q112221018,Lands,2008-10-26,2012-04-28
+++,Q19631177,Kudianga Bayokisa,Q112220984,Commerce,2014-12-09,2016-12-19
+++,,Kutumisa Tshioka,Q112220993,Education,2001-04-14,2003-07-30
+++,Q3008880,Kyamusoke Bamusulanga Nta-Bote,Q112221031,Posts and Telecommunications,2007-02-05,2007-11-26
+++,,Lambert Matuku,Q112220994,"Employment, Work and Social Security",2016-12-19,2019-01-23
+++,Q178793,Lambert Mende Omalanga,Q112220985,Communications and Media,2008-10-26,2012-04-28
+++,Q178793,Lambert Mende Omalanga,Q112220985,Communications and Media,2014-12-09,2019-01-23
+++,Q178793,Lambert Mende Omalanga,Q112221007,Hydrocarbons,2007-02-05,2008-10-26
+++,Q178793,Lambert Mende Omalanga,Q112221019,"Media, in charge of Relations with Parliament and Initiation to the new citizenship",2012-04-28,2014-12-09
+++,Q3218739,Laure-Marie Kawanda Kayena,Q112221051,Transport,2010-02-19,2011-05-03
+++,Q48775364,Laurent Muzangisa,Q112220996,Energy,2008-10-26,2010-02-19
+++,Q3218981,Laurent-Simon Ikenge Lisambola,Q112220980,Civil Service,2007-11-26,2008-10-26
+++,Q3218981,Laurent-Simon Ikenge Lisambola,Q112221052,Urban Development and Housing,2007-02-05,2007-11-26
+++,Q3240837,Liliane Mpande Mwaba,Q112221018,Lands,2007-02-05,2007-11-26
---,Q3078546,Louis Alphonse Koyagialo,Q3401753,Prime Minister of the Democratic Republic of the Congo,2012-03-06,2012-04-18
+++,,Louis Alphonse Koyagialo Ngbasete Gerengbo,Q112221031,Vice-Prime Minister and Minister of Posts and Telecommunications,2011-09-11,2012-04-28
+++,Q3263804,Louise Munga Mesozi,Q112221026,Parastatals,2012-04-28,2016-12-19
+++,Q3263804,Louise Munga Mesozi,Q112221031,Posts and Telecommunications,2007-11-26,2010-02-19
+++,Q96436683,Lucie Kipele Aki Azwa,Q112220999,"Gender, Family, and Children",2015-09-25,2016-12-19
+++,,Lumeya Dhu-Maleghi,Q112221018,Lands,2017-05-09,2019-01-23
+++,,Luzolo Mbambi Ntesa,Q112221015,Justice,2008-10-26,2010-02-19
+++,,Luzolo Mbambi Ntesa,Q112221015,Justice and Human Rights,2010-02-19,2012-04-28
+++,Q3271542,Lèonard She Okitundu,Q6866142,Foreign Affairs and International Cooperation,2000-11-20,2001-01-16
+++,Q3271542,Lèonard She Okitundu,Q6866142,Foreign Affairs and International Cooperation,2001-04-14,2003-07-30
+++,Q3271542,Lèonard She Okitundu,Q112221005,Human Rights,1998-06-01,2000-11-20
+++,Q3271542,Lèonard She Okitundu,Q6866142,Vice-Prime Minister and Minister of Foreign Affairs and Regional Integration,2016-12-19,2019-01-23
---,Q3271517,Léonard Luongwe,Q97366094,Minister of Finance,2003-02-01,2003-06-01
+++,Q3271518,Léonard Mashako Mamba,Q112221001,Health,2001-04-14,2003-07-30
+++,Q3271518,Léonard Mashako Mamba,Q112221001,Health,1999-03-14,2001-01-16
+++,Q3271518,Léonard Mashako Mamba,Q112221003,Higher Education and University,2008-10-26,2012-04-28
+++,,Léonard Masuga Rugamika,Q112221003,"Higher Education, University, and Scientific Research",2007-11-26,2008-10-26
---,Q3271542,Léonard She Okitundu,Q6866142,Minister of Foreign Affairs,2016-12-01,2019-03-01
---,Q3271542,Léonard She Okitundu,Q6866142,Minister of Foreign Affairs,2000-01-01,2003-01-01
+++,Q110770469,Maguy Kiala Bolenga,Q112221057,Youth and and Initiation to Citizenship,2016-12-19,2019-01-23
+++,Q3280754,Maker Mwangu Famba,Q112221034,Primary and Secondary Education and Initiation to Citizenship,2014-12-09,2016-12-19
+++,Q3280754,Maker Mwangu Famba,Q112221034,Primary and Secondary Education and Professional Training,2007-02-05,2014-12-09
+++,Q106904673,Marcel Amos Mbayo Kitenge,Q112221049,Sports and Leisure,2019-08-26,
+++,Q60958438,Marcel Ilunga Leu,Q112221009,Industry,2016-12-19,2019-01-23
+++,Q3289189,Marcel Malenso Ndodila,Q54100574,Culture and Arts,2007-02-05,2007-11-26
---,Q3290052,Marco Banguli,Q97366094,Minister of Finance,2005-11-01,2007-02-01
+++,,Marco Banguli N’sambwe Mbali,Q97366094,Finance,2005-11-18,2007-02-05
->,Q81852221,Marie Tumba Nzeza,Q6866142,Minister of Foreign Affairs->Foreign Affairs,2019-09-09->2019-08-26,2021-04-12
+++,Q3291479,Marie-Ange Lukiana Mufwankol,Q112221017,Labour and Social Security,2001-04-14,2003-07-30
+++,Q3291479,Marie-Ange Lukiana Mufwankol,Q112221017,Labour and Social Security,2007-02-05,2008-10-26
+++,Q3291479,Marie-Ange Lukiana Mufwankol,Q112221055,Women Affairs,2008-10-26,2012-04-28
+++,Q28811859,Marie-Ange Mushobekwa,Q112221005,Human Rights,2016-12-19,2019-01-23
+++,Q56618763,Marie-Louise Mwange,Q112220999,"Gender, Family, and Children",2016-12-19,2017-05-09
+++,Q96244491,Marie-Madeleine Kalala,Q112221005,Human Rights,2003-07-30,2007-02-05
+++,,Marthe Ngalula Wakuana,Q54100574,Culture and Arts,2001-04-14,2003-07-30
+++,Q3295341,Martin Bitijula Mahimba,Q108730998,Social Affairs and National Solidarity,2007-02-05,2007-11-26
+++,Q3295482,Martin Kabwelulu Labilo,Q112221020,Mines,2007-02-05,2019-01-23
+++,Q109044479,Martine Ntumba Bukasa,Q112221043,Rural Development,2016-12-19,2017-05-09
->,Q57883,Matata Ponyo Mapon->Augustin Matata Ponyo Mapon,Q97366094,Minister of Finance->Finance,2010-02-01->2010-02-19,2012-04-01->2012-04-28
->,Q57883,Matata Ponyo Mapon->Augustin Matata Ponyo Mapon,Q3401753,Prime Minister of the Democratic Republic of the Congo->Prime Minister,2012-04-18->2012-04-28,2016-11-17->2016-12-19
+++,,Mathieu Kalele Kabila,Q112221020,Mines,2006-10-16,2007-02-05
+++,Q48778037,Matthieu Mpika,Q112221051,Transport,2008-10-26,2010-02-19
+++,,Matungulu Nguyamu,Q112220992,"Economy, Finance and Budget",2001-04-14,2002-11-17
+++,,Matungulu Nguyamu,Q97366094,Finance and Budget,2002-11-17,2003-07-30
---,Q3301954,Mawampanga Mwana Nanga,Q97366094,Minister of Finance,1999-03-01,2000-11-01
+++,Q2853312,Mbusa Nyamwisi,Q112220990,Decentralization and Regional Planning,2008-10-26,2011-09-11
+++,Q2853312,Mbusa Nyamwisi,Q112221038,Regional Cooperation,2003-07-30,2007-02-05
+++,,Michel Bongongo Ikoli Ndombo,Q112220973,Budget,2014-12-09,2016-12-19
+++,,Michel Bongongo Ikoli Ndombo,Q112220980,Civil Service,2016-12-19,2019-01-23
+++,Q47524829,Michel Botoro,Q112220980,Civil Service,2008-10-26,2010-02-19
+++,Q3310203,Michel Lokola Elemba,Q112220973,Budget,2008-10-26,2010-02-19
+++,,Mira Ndjoko,Q112221013,Interior,2001-04-14,2002-11-17
+++,Q19543886,Modeste Bahati Lukwebo,Q112220992,Economy,2014-12-09,2017-05-09
+++,Q19543886,Modeste Bahati Lukwebo,Q112220994,"Employment, Work and Social Security",2012-04-28,2014-12-09
+++,Q19543886,Modeste Bahati Lukwebo,Q112221028,Planning,2017-05-09,2019-01-23
->,Q3317906,Modeste Mutombo Kyamakosa,Q97366094,Minister of Finance->Finance,2003-06-01->2003-07-30,2003-09-01->2003-10-05
+++,Q96244405,Moleko Moliwa,Q108730998,Social Affairs,1999-03-14,2000-09-02
+++,Q56302679,Moïse Nyarugabo Muhizi Mugeyo,Q112220992,Economy,2006-10-10,2007-02-05
+++,,Mukendi Tshambula,Q112221009,Industry and Small and Medium Enterprises,2005-11-18,2006-10-16
+++,Q25694801,Mwenze Kongolo,Q112221015,Justice,1998-01-03,2001-01-16
+++,Q25694801,Mwenze Kongolo,Q112221022,National Security and Public Order,2001-04-14,2002-11-17
+++,Q97277162,Nene Nkulu Ilunga,Q112221017,"Labour, Employment and Social Security",2019-08-26,
+++,,Ngele Masudi,Q112221015,Justice,2001-04-14,2003-07-30
+++,,Nionyi Bwana Kawa,Q112221034,Primary and Secondary Education and Professional Training,2006-10-16,2007-02-05
+++,,Nkodi Mbaki,Q112221035,"Public Works, Territorial Administration, Housing and Urban Development",2001-04-14,2003-07-30
+++,Q3342365,Nkulu Mitumba Kilombo,Q112221058,Minister without Portfolio,2007-02-05,2008-10-26
+++,,Norbert Basengezi Katitima,Q54429353,Agriculture,2008-10-26,2012-04-28
+++,Q1532002,Norbert Likulia Bolongo,Q112220997,Enterprises,2000-09-02,2001-01-16
+++,Q2839928,Ntumba Luaba,Q112221005,Human Rights,2001-04-14,2003-07-30
+++,,Odelive Meta Mutombo Mudiay,Q112221038,Regional Cooperation,2000-09-02,2001-01-16
+++,,Odette Babandoya Etowa,Q112221051,Transport and Communications,1999-03-14,2000-09-02
+++,Q3351121,Olivier Kamitatu Etsu,Q112221028,Planning,2007-02-05,2012-04-28
+++,Q3351121,Olivier Kamitatu Etsu,Q112221028,Planning and Implementation of the Modernisation Revolution,2014-12-09,2015-09-25
+++,Q54010330,Oly Ilunga Kalenga,Q112221001,Health,2016-12-19,2019-01-23
+++,,Omer Engwake,Q112221048,"Spatial planning, Town planning and Housing",2014-12-09,2016-12-19
+++,,Omer Engwake,Q112221057,Youth and Sports,2003-07-30,2005-02-17
+++,,Paluku Kisaka Yereyere,Q112221000,Fishing and Livestock,2017-05-09,2019-01-23
+++,,Paluku Kisaka Yereyere,Q108730998,"Social Affairs, Humanitarian Action and National Solidarity",2016-12-19,2017-05-09
+++,Q30728171,Papy Niango,Q112221049,Sports,2017-05-09,2019-01-23
+++,,Pardone Kaliba Mulanga,Q112221043,Rural Development,2003-07-30,2006-10-16
+++,,Pardone Kaliba Mulanga,Q112221057,Youth and Sports,2007-02-05,2007-11-26
->,Q107141721,Patrice Kitebi Kibol Mvul,Q97366094,Minister of Finance->Finance,2012-04-01->2012-04-28,2014-12-01->2014-12-09
+++,,Patrick Mayombe Mumbioko,Q54429353,Agriculture,2016-12-19,2017-05-09
+++,Q48775368,Patrick Sulubika,Q112221057,Youth and Sports,2008-10-26,2010-02-19
+++,Q3371887,Paul Musafiri,Q54429353,Agriculture,2005-02-17,2005-11-18
+++,Q3371887,Paul Musafiri,Q112221034,Primary and Secondary Education and Professional Training,2005-11-18,2006-10-16
+++,,Paul-Gabriel Kapita Shabangi,Q112220980,"Civil Service, Labour and Social Security",1999-03-14,2000-09-02
+++,Q96999221,Pepin Guillaume Manjolo Buakila,Q112221014,"International Cooperation, Regional Integration and Francophonie",2019-08-26,
+++,,Philippe Kohotama Mawuoko,Q112221031,Posts and Telecommunications,2001-04-14,2003-07-30
+++,,Philippe Undji Yangya,Q112221043,Rural Development,2010-02-19,2011-09-11
+++,Q3381176,Philomène Omatuku,Q112221009,Industry and Small and Medium Enterprises,2006-10-16,2007-02-05
+++,Q3381176,Philomène Omatuku Atshakawo Akatshi,Q112221055,Women Affairs,2007-02-05,2008-10-26
->,Q3381294,Philémon Mukendi->Philemon Mukendi,Q54100574,Minister of Culture of the Democratic Republic of the Congo->Culture and Arts,2005-11-18,NULL->2007-02-05
+++,,Pierre Anatole Matusila,Q112220996,Energy and Water Resources,2016-12-19,2017-05-09
+++,,Pierre Ilunga Bindu wa Biluba,Q112221015,Justice,2006-10-16,2007-02-05
+++,Q107528370,Pierre Kangudia Mbayi,Q112220973,Budget,2016-12-19,2019-01-23
+++,Q3386032,Pierre Lumbi Okongo,Q112221011,"Infrastructure, Public Works, and Reconstruction",2007-02-05,2010-02-19
+++,Q3386090,Pierre Manoka,Q112220992,Economy,2005-11-18,2006-03-24
+++,,Pierre Muzumba Mwana Ombe,Q112220996,Energy,2005-01-03,2005-11-18
+++,Q3383536,Pierre-Victor Mpoyo,Q112221058,Minister without Portfolio,2000-11-20,2001-01-16
+++,Q3383536,Pierre-Victor Mpoyo,Q112221023,Oil,1999-03-14,2000-11-20
+++,,Pierrette Gene Vungbo Yatalo,Q54100574,Culture,2003-09-06,2004-07-11
+++,,Pierrot Uweka Ukaba,Q112221053,"Vocational training, Trades and Crafts",2017-05-09,2019-01-23
+++,,Pius Mwabilu Mabyu,Q112221052,Urban Affairs and Housing,2019-08-26,
+++,,Prosper Kibue Molambo,Q112221031,Posts and Telecommunications,1999-03-14,2000-11-20
+++,,Prosper Kibue Molambo,Q112221035,Public Works,2000-11-20,2001-01-16
->,Q3421106,Raymond Ramazani Baya,Q6866142,Minister of Foreign Affairs->Foreign Affairs and International Cooperation,2004-07-22,2007-02-06->2007-02-05
---,Q3421171,Raymond Tshibanda,Q6866142,Minister of Foreign Affairs,2012-04-01,2016-12-01
+++,,Raymond Tshibanda N’tunga Mulongo,Q6866142,"Foreign Affairs, International Cooperation and Francophonie",2012-04-28,2016-12-19
+++,,Raymond Tshibanda N’tunga Mulongo,Q112221014,International and Regional Cooperation,2008-10-26,2012-04-28
+++,Q3424667,Remy Henri Kuseyo Gatanga,Q112221051,Transport and Communications,2007-02-05,2007-10-05
+++,Q3424672,Remy Musungayi Bampale,Q112221009,"Industry, Small and Medium Enterprises",2012-04-28,2014-12-09
+++,Q3426386,René Isekemanga Nkeka,Q112221007,Hydrocarbons,2008-10-26,2010-02-19
+++,,Richard Muyej Mangenz,Q112221013,"Interior, Security, Decentralization and Customary Affairs",2012-04-28,2014-12-09
+++,,Richard Muyej Mangenz,Q112221041,Relations with the Parliament,2010-02-19,2012-04-28
+++,Q106904372,Robert Bopolo Bogeza,Q112220998,Environment and Sustainable Development,2015-09-25,2016-12-19
+++,Q107128113,Robert Mbwinga Bila,Q112221018,Lands,2012-04-28,2014-12-09
+++,Q3439223,Roger Lumbala,Q56515760,Foreign Trade,2003-07-30,2005-01-03
+++,,Roger Nimy,Q54437053,Tourism,2003-07-30,2004-01-22
+++,,Roger Nimy,Q112221057,Youth and Sports,2005-02-17,2005-11-18
+++,,Romain Nimy Tembo,Q54429353,Agriculture,2006-10-16,2007-02-05
+++,Q96210162,Rose Boyata Monkaju,Q108730998,Social Affairs,2019-08-26,
+++,Q85854584,Rubens Mikindo Muhima,Q112221007,Hydrocarbons,2019-08-26,
+++,,Safi Adili,Q112221043,Rural Development,2008-10-26,2010-02-19
+++,Q2424586,Salomon Banamuhere Baliene,Q112220990,Decentralization and Customary Affairs,2014-12-09,2016-12-19
+++,Q2424586,Salomon Banamuhere Baliene,Q112220996,Energy,2005-11-18,2006-10-16
+++,Q2424586,Salomon Banamuhere Baliene,Q112220996,Energy,2007-02-05,2008-10-26
+++,Q2424586,Salomon Banamuhere Baliene,Q112221018,"Land Affairs, Environment and Tourism",2001-04-14,2003-07-30
+++,Q105523479,Sama Lukonde Kyenge,Q112221057,Youth and Sports,2014-12-09,2015-09-25
->,Q17639110,Samy Badibanga,Q3401753,Prime Minister of the Democratic Republic of the Congo->Prime Minister,2016-11-17->2016-12-19,2017-05-18->2017-04-06
+++,,Sessanga Hipung Dja Kaseng,Q112221028,Planning,2006-03-24,2006-10-16
+++,,Simon Bawangamio Tumawako,Q112221020,Mines and Hydrocarbons,2001-04-14,2003-07-30
+++,Q3484223,Simon Bulupiy Galati,Q112221017,Labour,2011-09-11,2012-04-28
+++,Q3484223,Simon Bulupiy Galati,Q112221031,Vice-Prime Minister and Minister of Posts and Telecommunications,2010-02-19,2011-09-11
+++,Q3484373,Simon Mboso Kiamputu,Q112221009,Industry,2007-02-05,2007-11-26
+++,Q3484373,Simon Mboso Kiamputu,Q112221009,Industry,2008-10-26,2010-02-19
+++,Q3484373,Simon Mboso Kiamputu,Q112221009,Industry and Small and Medium Enterprises,2007-11-26,2008-10-26
+++,Q97446584,Steve Mbikayi Mabuluki,Q112221003,Higher Education and University,2016-12-19,2019-01-23
+++,Q97446584,Steve Mbikayi Mabuluki,Q112221006,Humanitarian Action and National Solidarity,2019-08-26,
+++,Q2372748,Sylvain Joël Bifuila Tshamuala,Q112220992,Economy,2007-02-05,2007-11-26
+++,,Sylvain Maurice Masheke,Q54100574,Culture and Arts,2016-12-19,2017-05-09
+++,Q3507094,Sylvain Ngabu Chumbu,Q112221003,Higher Education and University,2007-02-05,2007-11-26
+++,Q3507094,Sylvain Ngabu Chumbu,Q112221052,Urban Development and Housing,2007-11-26,2008-10-26
+++,Q3507165,Sylvanus Mushi Bonane,Q112221044,Scientific Research,2007-02-05,2007-07-13
->,Q63967715,Sylvestre Ilunga->Sylvestre Ilunga Ilunkamba,Q3401753,Prime Minister of the Democratic Republic of the Congo->Prime Minister,2019-05-20->2019-08-26,2021-01-28
+++,Q107099631,Symphorien Mutombo Bakafwa Nsenda,Q112221015,Justice and Human Rights,2007-11-26,2008-10-26
+++,Q107099631,Symphorien Mutombo Bakafwa Nsenda,Q54099408,Vice-Prime Minister,2008-10-26,2010-02-19
+++,,Tharcisse Habarugira,Q17110451,"Defence, Demobilisation and Veterans",2006-10-16,2007-02-05
+++,Q3526308,Theo Baruti,Q112221003,Higher Education and University,2005-11-18,2007-02-05
+++,Q3526308,Theo Baruti,Q112221017,Labour and Social Security,2003-07-30,2004-07-11
+++,Q18649355,Thomas Luhaka Losenjola,Q112221003,Higher Education and University,2019-08-26,
+++,Q18649355,Thomas Luhaka Losenjola,Q112221011,"Infrastructure, Public Works, and Reconstruction",2016-12-19,2019-01-23
+++,Q18649355,Thomas Luhaka Losenjola,Q112221031,"Vice-Prime Minister and Minister of Posts, Telecommunications and New Information and Communication Technologies",2014-12-09,2016-12-19
+++,Q3526676,Théophile Mbemba Fundu,Q112221003,Higher Education and University,2014-12-09,2016-12-19
+++,Q3526676,Théophile Mbemba Fundu,Q112221013,Interior,2002-11-17,2003-07-30
+++,Q3526676,Théophile Mbemba Fundu,Q112221013,"Interior, Decentralization and Security",2003-07-30,2006-10-10
+++,Q107041760,Timothèe Moleka Nzulama,Q112221057,Youth and Sports,2001-04-14,2003-07-30
+++,,Timothée Mukeba,Q112221057,Youth and Sports,2006-10-16,2007-02-05
+++,Q3535662,Toussaint Tshilombo Send,Q112221010,"Information, Press, and National Communications",2007-02-05,2007-11-26
+++,Q19629172,Tryphon Kin-Kiey Mulumba,Q112221031,"Posts, Telecommunications and New Information and Communication Technologies",2012-04-28,2014-12-09
+++,Q19629172,Tryphon Kin-Kiey Mulumba,Q112221041,Relations with the Parliament,2014-12-09,2016-12-19
+++,,Tshibangu Kalala,Q112221058,Minister without Portfolio,2017-05-09,2019-01-23
+++,,Tshubaka Bisikuabo,Q112221004,"Housing, Environment and Tourism",2000-09-02,2000-11-20
+++,,Tshubaka Bisikuabo,Q112221018,"Lands, Environment, Fishing and Forest Resources",1999-03-14,2000-09-02
+++,,Tshubaka Bisikuabo,Q112221023,Oil,2000-11-20,2001-01-16
+++,Q48775328,Upio Kakura Wapol,Q112221005,Human Rights,2008-10-26,2010-02-19
+++,Q98269668,Valentin Senga,Q54429353,Agriculture,2004-01-22,2005-02-17
+++,,Venant Tshipasa,Q112220989,Customary Affairs,2016-12-19,2017-05-09
+++,,Venant Tshipasa,Q112221018,Lands,2003-07-30,2007-02-05
+++,Q3557436,Victor Makwenge Kaput,Q112221001,Health,2007-02-05,2008-10-26
+++,Q3557436,Victor Makwenge Kaput,Q112221001,Health,2010-02-19,2012-04-28
+++,Q981106,Vital Kamerhe,Q112221010,Information and Press,2003-07-30,2004-07-11
+++,Q97464651,Willy Bakonga,Q112221034,"Primary, Secondary, and Technical Education",2019-08-26,
+++,Q97464651,Willy Bakonga,Q112221049,Sports,2016-12-19,2017-05-09
+++,Q97464651,Willy Bakonga,Q112221057,Youth and Sports,2007-11-26,2008-10-26
+++,Q98923080,Willy Kitobo Samsoni,Q112221020,Mines,2019-08-26,
+++,Q19545075,Willy Makiashi,Q112220994,"Vice-Prime Minister and Minister of Employment, Work and Social Security",2014-12-09,2016-12-19
+++,Q97478738,Willy Ngoopos Sunzhel,Q112221011,Vice-Prime Minister and Minister of Infrastructure and Public Works,2019-08-26,
+++,Q104889315,Wivine Mumba Matipa,Q112221015,Justice and Human Rights,2012-04-28,2014-12-09
+++,Q104889315,Wivine Mumba Matipa,Q112221026,Parastatals,2016-12-19,2019-01-23
+++,,Xavier Idi Muanuke,Q112221043,Rural Development,2006-10-16,2007-02-05
+++,,Yagi Sitolo,Q112221001,Health,2003-07-30,2004-07-11
+++,,Yagi Sitolo,Q112221031,Posts and Telecommunications,2000-11-20,2001-01-16
+++,,Yagi Sitolo,Q112221035,Public Works,1999-03-14,2000-11-20
+++,Q96210151,Yollande Ebongo Bosongo,Q112220980,Civil Service,2019-08-26,
+++,Q96468125,Yves Bonkulu Zola,Q54437053,Tourism,2019-08-26,
+++,,Zacharie Kashongwe,Q112221001,Health,2006-10-10,2007-02-05
+++,Q3576517,Zéphyrin Mutu Diambu-di-Lusala Nieva,Q112220980,Civil Service,2007-02-05,2007-11-26
+++,,Évariste Boshab Mabudj-ma-Bilenge,Q112221013,Vice-Prime Minister and Minister of Interior and Security,2014-12-09,2016-12-19
