item,itemLabel,position,positionLabel,province,provinceLabel,source,sourceDate,psid
Q98269668,Valentin Senga Paysayo,Q112275814,Governor of Bas-Uele,Q652056,Bas-Uele,https://fr.wikipedia.org/wiki/Liste_des_gouverneurs_des_provinces_de_la_r%C3%A9publique_d%C3%A9mocratique_du_Congo,2022-06-08,Q98269668-4BEFDB03-97BB-4231-83E1-F2E5B941D088
Q105954507,Jacques Kyabula Katwe,Q112275798,Governor of Haut-Katanga,Q130268,Haut-Katanga Province,https://fr.wikipedia.org/wiki/Liste_des_gouverneurs_des_provinces_de_la_r%C3%A9publique_d%C3%A9mocratique_du_Congo,2022-06-08,Q105954507-F14ACA5E-CEDB-483C-9175-B4A667E9953A
Q3010091,Célestin Mbuyu Kabango,Q112275810,Governor of Haut-Lomami,Q605672,Haut-Lomami Province,https://fr.wikipedia.org/wiki/Liste_des_gouverneurs_des_provinces_de_la_r%C3%A9publique_d%C3%A9mocratique_du_Congo,2022-06-08,Q3010091-2DA4395C-82B8-4A7E-8562-3EB8F1595F06
Q100533120,Christophe Nangaa,Q112275817,Governor of Haut-Uele,Q751632,Haut-Uele,https://fr.wikipedia.org/wiki/Liste_des_gouverneurs_des_provinces_de_la_r%C3%A9publique_d%C3%A9mocratique_du_Congo,2022-06-08,Q100533120-F899AE41-7861-4A4D-B80D-697CFD8B21B9
Q112276403,Luboya Nkashama Johny,Q112275805,Governor of Ituri,Q24909562,Ituri Province,https://fr.wikipedia.org/wiki/Liste_des_gouverneurs_des_provinces_de_la_r%C3%A9publique_d%C3%A9mocratique_du_Congo,2022-06-08,Q112276403-DDD26748-BDCE-4E27-961A-A7F95B5DBD0B
Q112276399,Pieme Dieudonné,Q112275813,Governor of Kasaï,Q6373961,Kasai Province,https://fr.wikipedia.org/wiki/Liste_des_gouverneurs_des_provinces_de_la_r%C3%A9publique_d%C3%A9mocratique_du_Congo,2022-06-08,Q112276399-63233460-44EA-40BD-A9E0-08EAB9077BDD
Q112276395,Jean Maweja Muteba,Q112275823,Governor of Kasaï oriental,Q917992,Kasai-Oriental,https://fr.wikipedia.org/wiki/Liste_des_gouverneurs_des_provinces_de_la_r%C3%A9publique_d%C3%A9mocratique_du_Congo,2022-06-08,Q112276395-3FDC4704-4D7B-4399-AFC1-0683BFB4117C
Q109315393,Martin Kabuya,Q112275815,Governor of Kasaï-Central,Q6702952,Kasaï-Central,https://fr.wikipedia.org/wiki/Liste_des_gouverneurs_des_provinces_de_la_r%C3%A9publique_d%C3%A9mocratique_du_Congo,2022-06-08,Q109315393-5D588315-4D94-484D-A912-C9B5831BC961
Q97175266,Valentin Ngandu,Q112275815,Governor of Kasaï-Central,Q6702952,Kasaï-Central,https://fr.wikipedia.org/wiki/Liste_des_gouverneurs_des_provinces_de_la_r%C3%A9publique_d%C3%A9mocratique_du_Congo,2022-06-08,Q97175266-2E703864-138F-468C-B151-C630142A9D85
Q96210362,Gentiny Mbaka Ngobila,Q112275806,Governor of Kinshasa,Q3838,Kinshasa,https://fr.wikipedia.org/wiki/Liste_des_gouverneurs_des_provinces_de_la_r%C3%A9publique_d%C3%A9mocratique_du_Congo,2022-06-08,Q96210362-4A3A474B-E35F-4604-8401-4484AB41D0D8
Q112276390,Yannick Mapulu,Q112275795,Governor of Kongo central,Q1043494,Kongo Central,https://fr.wikipedia.org/wiki/Liste_des_gouverneurs_des_provinces_de_la_r%C3%A9publique_d%C3%A9mocratique_du_Congo,2022-06-08,Q112276390-931B90E5-AD03-44B2-A256-10AA98846014
Q82364291,Jean-Marie Peti Peti,Q112275804,Governor of Kwango,Q24205498,Kwango Province,https://fr.wikipedia.org/wiki/Liste_des_gouverneurs_des_provinces_de_la_r%C3%A9publique_d%C3%A9mocratique_du_Congo,2022-06-08,Q82364291-9A7937EC-0B73-4821-9603-54601B0586B6
Q112276384,Willy Itshundala,Q112275809,Governor of Kwilu,Q559537,Kwilu,https://fr.wikipedia.org/wiki/Liste_des_gouverneurs_des_provinces_de_la_r%C3%A9publique_d%C3%A9mocratique_du_Congo,2022-06-08,Q112276384-48669027-BBB5-4E7D-907F-F744F5870DD3
Q112276380,Sylvain Lubamba Mayombo,Q112275803,Governor of Lomami,Q241886,Lomami Province,https://fr.wikipedia.org/wiki/Liste_des_gouverneurs_des_provinces_de_la_r%C3%A9publique_d%C3%A9mocratique_du_Congo,2022-06-08,Q112276380-36632C56-1752-4C47-806F-043FF864F3E3
Q7327967,Richard Muyej,Q112275796,Governor of Lualaba,Q1159531,Lualaba Province,https://fr.wikipedia.org/wiki/Liste_des_gouverneurs_des_provinces_de_la_r%C3%A9publique_d%C3%A9mocratique_du_Congo,2022-06-08,Q7327967-7B708727-2559-47BC-8167-3FF0E3F75AA4
Q112276375,Paul Mputu Boleilanga,Q112275797,Governor of Mai-Ndombe,Q1163429,Mai-Ndombe Province,https://fr.wikipedia.org/wiki/Liste_des_gouverneurs_des_provinces_de_la_r%C3%A9publique_d%C3%A9mocratique_du_Congo,2022-06-08,Q112276375-7259C46D-13DE-4A38-9AEA-9D9C7675DF03
Q112276368,Idrissa Mangala,Q112275799,Governor of Maniema,Q130566,Maniema,https://fr.wikipedia.org/wiki/Liste_des_gouverneurs_des_provinces_de_la_r%C3%A9publique_d%C3%A9mocratique_du_Congo,2022-06-08,Q112276368-81A89C15-6443-44A3-93D8-9D35DCF980D4
Q109019515,Crispin Ngbundu Malengo,Q112275822,Governor of Mongala,Q847527,Mongala District,https://fr.wikipedia.org/wiki/Liste_des_gouverneurs_des_provinces_de_la_r%C3%A9publique_d%C3%A9mocratique_du_Congo,2022-06-08,Q109019515-56CB5348-2FB9-4309-BA67-95F75A73ECE2
Q112276684,Bienvenu Seti,Q112275821,Governor of Nord-Ubangi,Q843312,Nord-Ubangi District,https://fr.wikipedia.org/wiki/Liste_des_gouverneurs_des_provinces_de_la_r%C3%A9publique_d%C3%A9mocratique_du_Congo,2022-06-08,Q112276684-A61A1EFE-0B91-4124-9583-AFF62B53A545
Q109547295,Isato Nzege,Q112275821,Governor of Nord-Ubangi,Q843312,Nord-Ubangi District,https://fr.wikipedia.org/wiki/Liste_des_gouverneurs_des_provinces_de_la_r%C3%A9publique_d%C3%A9mocratique_du_Congo,2022-06-08,Q109547295-05F17D18-57B8-4663-A08F-38FC9FD8F911
Q106904349,Ndima Constant,Q112275800,Governor of Nord-Kivu,Q130625,North Kivu,https://fr.wikipedia.org/wiki/Liste_des_gouverneurs_des_provinces_de_la_r%C3%A9publique_d%C3%A9mocratique_du_Congo,2022-06-08,Q106904349-6CB64491-D466-42CB-9D4A-3586B8B28CCD
Q112276359,Joseph Mukumadi,Q112275802,Governor of Sankuru,Q209829,Sankuru,https://fr.wikipedia.org/wiki/Liste_des_gouverneurs_des_provinces_de_la_r%C3%A9publique_d%C3%A9mocratique_du_Congo,2022-06-08,Q112276359-CC85959B-0AEF-4D45-9DC8-BA3001FFCD0E
Q108526392,Théo Ngwabidje,Q112275808,Governor of Sud-Kivu,Q488326,South Kivu,https://fr.wikipedia.org/wiki/Liste_des_gouverneurs_des_provinces_de_la_r%C3%A9publique_d%C3%A9mocratique_du_Congo,2022-06-08,Q108526392-27F7069C-573A-4378-8FA8-65DDFA13A48D
Q112276341,Jean-Claude Mabenze Gbey Benz,Q112275820,Governor of Sud-Ubangi,Q834551,Sud-Ubangi,https://fr.wikipedia.org/wiki/Liste_des_gouverneurs_des_provinces_de_la_r%C3%A9publique_d%C3%A9mocratique_du_Congo,2022-06-08,Q112276341-948A5AD7-278D-49BC-9958-B3CF6484E08D
Q112276304,Parfait Nkanku,Q112275818,Governor of Tanganyika,Q826585,Tanganyika Province,https://fr.wikipedia.org/wiki/Liste_des_gouverneurs_des_provinces_de_la_r%C3%A9publique_d%C3%A9mocratique_du_Congo,2022-06-08,Q112276304-5222F8A4-0C49-434B-AC88-8109A0959739
Q97163685,Louis-Marie Wale Lofungola,Q112275812,Governor of Tshopo,Q630900,Tshopo,https://fr.wikipedia.org/wiki/Liste_des_gouverneurs_des_provinces_de_la_r%C3%A9publique_d%C3%A9mocratique_du_Congo,2022-06-08,Q97163685-7BF6B48A-E792-4912-9B09-2F3CD2D7184C
Q112262813,Pancrace Boongo,Q112275807,Governor of Tshuapa,Q427246,Tshuapa District,https://fr.wikipedia.org/wiki/Liste_des_gouverneurs_des_provinces_de_la_r%C3%A9publique_d%C3%A9mocratique_du_Congo,2022-06-08,Q112262813-D5EA71D1-AC4C-4A31-B412-9E3628C31FC8
Q112276410,Dieudonné Bobo Boloko,Q112275824,Governor of Équateur,Q988104,Équateur,https://fr.wikipedia.org/wiki/Liste_des_gouverneurs_des_provinces_de_la_r%C3%A9publique_d%C3%A9mocratique_du_Congo,2022-06-08,Q112276410-8EDB9754-DB1D-443B-9F6B-EA3FD2059E7C
